"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 17 09:36:15 GMT 2024","Sun Mar 17 09:36:27 GMT 2024","11784","Platform","","Tracker sub-issues tests","","","create sub-issue",""
"passed","Sun Mar 17 09:37:44 GMT 2024","Sun Mar 17 09:37:51 GMT 2024","7146","Platform","","Workspace tests","","","Create a workspace with a custom name",""
"passed","Sun Mar 17 09:30:15 GMT 2024","Sun Mar 17 09:30:19 GMT 2024","4159","Platform","","contact tests","","","create-contact",""
"passed","Sun Mar 17 09:33:51 GMT 2024","Sun Mar 17 09:33:56 GMT 2024","5186","Platform","","Tracker issue tests","","","Delete an issue",""
"skipped","Sun Mar 17 09:31:07 GMT 2024","Sun Mar 17 09:31:07 GMT 2024","1","Platform","","Application tests","","","Edit an Application",""
"passed","Sun Mar 17 09:34:27 GMT 2024","Sun Mar 17 09:34:50 GMT 2024","23223","Platform","","tracker layout tests","","","issues-status-grouping-layout",""
"passed","Sun Mar 17 09:36:38 GMT 2024","Sun Mar 17 09:36:49 GMT 2024","10923","Platform","","Relations","","","Reference another issue",""
"passed","Sun Mar 17 09:30:04 GMT 2024","Sun Mar 17 09:30:10 GMT 2024","5698","Platform","","actions tests","","","action-switch-applications",""
"passed","Sun Mar 17 09:34:50 GMT 2024","Sun Mar 17 09:34:55 GMT 2024","5688","Platform","","tracker layout tests","","","issues-assignee-grouping-layout",""
"passed","Sun Mar 17 09:31:37 GMT 2024","Sun Mar 17 09:31:43 GMT 2024","5490","Platform","","Vacancy tests","","","create-vacancy",""
"passed","Sun Mar 17 09:31:37 GMT 2024","Sun Mar 17 09:31:43 GMT 2024","5791","Platform","","candidate/talents tests","","","create-candidate",""
"skipped","Sun Mar 17 09:33:27 GMT 2024","Sun Mar 17 09:33:27 GMT 2024","1","Platform","","Tracker issue tests","","","Set parent issue",""
"passed","Sun Mar 17 09:31:32 GMT 2024","Sun Mar 17 09:31:37 GMT 2024","5220","Platform","","review tests","","","create-review",""
"passed","Sun Mar 17 09:36:51 GMT 2024","Sun Mar 17 09:37:01 GMT 2024","9640","Platform","","Tracker sub-issues tests","","","Create sub-issue from template",""
"passed","Sun Mar 17 09:35:09 GMT 2024","Sun Mar 17 09:35:15 GMT 2024","6349","Platform","","tracker layout tests","","","issues-milestone-grouping-layout",""
"passed","Sun Mar 17 09:35:16 GMT 2024","Sun Mar 17 09:35:19 GMT 2024","3104","Platform","","","","","check-status-loading",""
"passed","Sun Mar 17 09:30:38 GMT 2024","Sun Mar 17 09:30:43 GMT 2024","4425","Platform","","Teamspace tests","","","Create a teamspace",""
"passed","Sun Mar 17 09:37:09 GMT 2024","Sun Mar 17 09:37:28 GMT 2024","18347","Platform","","Tracker template tests","","","Edit a Template",""
"passed","Sun Mar 17 09:31:13 GMT 2024","Sun Mar 17 09:31:19 GMT 2024","5908","Platform","","Companies tests","","","Create a new Company",""
"passed","Sun Mar 17 09:37:28 GMT 2024","Sun Mar 17 09:37:33 GMT 2024","5165","Platform","","Tracker template tests","","","Delete Template",""
"passed","Sun Mar 17 09:31:19 GMT 2024","Sun Mar 17 09:31:27 GMT 2024","8594","Platform","","Companies tests","","","Edit a Company",""
"passed","Sun Mar 17 09:31:59 GMT 2024","Sun Mar 17 09:32:03 GMT 2024","3261","Platform","","Vacancy tests","","","Export vacancies",""
"passed","Sun Mar 17 09:38:41 GMT 2024","Sun Mar 17 09:38:54 GMT 2024","13586","Platform","","Workspace tests","","","Create workspace with LastToken in the localStorage",""
"passed","Sun Mar 17 09:32:03 GMT 2024","Sun Mar 17 09:32:09 GMT 2024","6161","Platform","","Vacancy tests","","","Archive a Vacancy",""
"passed","Sun Mar 17 09:33:05 GMT 2024","Sun Mar 17 09:33:17 GMT 2024","12257","Platform","","Tracker filters tests","","","Status filter",""
"passed","Sun Mar 17 09:33:56 GMT 2024","Sun Mar 17 09:34:13 GMT 2024","16594","Platform","","Tracker issue tests","","","Check the changed description activity",""
"passed","Sun Mar 17 09:35:03 GMT 2024","Sun Mar 17 09:35:09 GMT 2024","5542","Platform","","tracker layout tests","","","issues-component-grouping-layout",""
"passed","Sun Mar 17 09:34:46 GMT 2024","Sun Mar 17 09:34:54 GMT 2024","7645","Platform","","Tracker filters tests","","","Label filter",""
"passed","Sun Mar 17 09:32:17 GMT 2024","Sun Mar 17 09:32:23 GMT 2024","5740","Platform","","recruit tests","","","create-skill-candidate-with-skill",""
"passed","Sun Mar 17 09:32:31 GMT 2024","Sun Mar 17 09:32:47 GMT 2024","16204","Platform","","Tracker filters tests","","","Modified date",""
"passed","Sun Mar 17 09:36:27 GMT 2024","Sun Mar 17 09:36:41 GMT 2024","14327","Platform","","Tracker sub-issues tests","","","Edit a sub-issue",""
"passed","Sun Mar 17 09:32:47 GMT 2024","Sun Mar 17 09:33:05 GMT 2024","17610","Platform","","Tracker filters tests","","","Created date",""
"passed","Sun Mar 17 09:38:32 GMT 2024","Sun Mar 17 09:38:48 GMT 2024","16286","Platform","","Tracker tests","","","report-time-from-main-view",""
"passed","Sun Mar 17 09:32:09 GMT 2024","Sun Mar 17 09:32:13 GMT 2024","4543","Platform","","contact tests","","","update-profile",""
"passed","Sun Mar 17 09:32:48 GMT 2024","Sun Mar 17 09:32:58 GMT 2024","10329","Platform","","Tracker duplicate issue tests","","","Create duplicate issues with the same title",""
"passed","Sun Mar 17 09:35:28 GMT 2024","Sun Mar 17 09:35:35 GMT 2024","6932","Platform","","tracker layout tests","","","issues-modified-ordering-layout",""
"passed","Sun Mar 17 09:32:37 GMT 2024","Sun Mar 17 09:32:44 GMT 2024","6713","Platform","","Tracker component tests","","","Edit a component",""
"passed","Sun Mar 17 09:31:21 GMT 2024","Sun Mar 17 09:31:29 GMT 2024","7770","Platform","","Application tests","","","Change & Save all States",""
"passed","Sun Mar 17 09:31:00 GMT 2024","Sun Mar 17 09:31:07 GMT 2024","7196","Platform","","Application tests","","","create application",""
"passed","Sun Mar 17 09:33:27 GMT 2024","Sun Mar 17 09:33:36 GMT 2024","8605","Platform","","Tracker issue tests","","","Move to project",""
"passed","Sun Mar 17 09:33:36 GMT 2024","Sun Mar 17 09:33:44 GMT 2024","8083","Platform","","Tracker issue tests","","","Comment stored after reload the page",""
"passed","Sun Mar 17 09:32:30 GMT 2024","Sun Mar 17 09:32:37 GMT 2024","7038","Platform","","Tracker component tests","","","create-component-issue",""
"passed","Sun Mar 17 09:35:32 GMT 2024","Sun Mar 17 09:35:38 GMT 2024","6731","Platform","","Mentions issue tests","","","Check that the backlink shown in the Issue activity",""
"passed","Sun Mar 17 09:35:53 GMT 2024","Sun Mar 17 09:36:02 GMT 2024","8990","Platform","","Tracker public link issues tests","","","Public link generate",""
"passed","Sun Mar 17 09:37:51 GMT 2024","Sun Mar 17 09:38:09 GMT 2024","17532","Platform","","Workspace tests","","","Create a new issue in the workspace with a custom name",""
"skipped","Sun Mar 17 09:29:53 GMT 2024","Sun Mar 17 09:29:53 GMT 2024","0","Platform","","Collaborative tests for Application","","","Add comment from several users",""
"passed","Sun Mar 17 09:32:23 GMT 2024","Sun Mar 17 09:32:30 GMT 2024","7556","Platform","","recruit tests","","","create-tag-candidate",""
"passed","Sun Mar 17 09:37:33 GMT 2024","Sun Mar 17 09:37:40 GMT 2024","6725","Platform","","workbench tests","","","navigator",""
"passed","Sun Mar 17 09:35:42 GMT 2024","Sun Mar 17 09:35:48 GMT 2024","5216","Platform","","Tracker Projects tests","","","Create project",""
"passed","Sun Mar 17 09:36:24 GMT 2024","Sun Mar 17 09:36:38 GMT 2024","13976","Platform","","Relations","","","Mark as blocking",""
"passed","Sun Mar 17 09:31:04 GMT 2024","Sun Mar 17 09:31:13 GMT 2024","8548","Platform","","Documents tests","","","Add Link to the Document",""
"passed","Sun Mar 17 09:31:43 GMT 2024","Sun Mar 17 09:31:52 GMT 2024","9361","Platform","","candidate/talents tests","","","Edit the Talent",""
"passed","Sun Mar 17 09:37:01 GMT 2024","Sun Mar 17 09:37:09 GMT 2024","8786","Platform","","Tracker template tests","","","Create a Template",""
"passed","Sun Mar 17 09:30:36 GMT 2024","Sun Mar 17 09:30:42 GMT 2024","5433","Platform","","Documents tests","","","Create a document",""
"passed","Sun Mar 17 09:31:07 GMT 2024","Sun Mar 17 09:31:15 GMT 2024","7558","Platform","","Application tests","","","Change Done status",""
"skipped","Sun Mar 17 09:29:53 GMT 2024","Sun Mar 17 09:29:53 GMT 2024","2","Platform","","channel tests","","","create new private channel tests",""
"passed","Sun Mar 17 09:30:55 GMT 2024","Sun Mar 17 09:31:04 GMT 2024","9101","Platform","","Documents tests","","","Collarabotive edit document content",""
"passed","Sun Mar 17 09:33:31 GMT 2024","Sun Mar 17 09:33:51 GMT 2024","19920","Platform","","Tracker filters tests","","","Created by filter",""
"passed","Sun Mar 17 09:30:18 GMT 2024","Sun Mar 17 09:30:26 GMT 2024","7911","Platform","","Collaborative test for issue","","","First user change assignee, second user should see assigned issue",""
"passed","Sun Mar 17 09:29:59 GMT 2024","Sun Mar 17 09:30:04 GMT 2024","5160","Platform","","actions tests","","","action-switch-vacancies",""
"passed","Sun Mar 17 09:37:01 GMT 2024","Sun Mar 17 09:37:20 GMT 2024","19264","Platform","","Tracker tests","","","issues-status-display",""
"passed","Sun Mar 17 09:31:15 GMT 2024","Sun Mar 17 09:31:21 GMT 2024","6103","Platform","","Application tests","","","Delete an Application",""
"passed","Sun Mar 17 09:32:13 GMT 2024","Sun Mar 17 09:32:19 GMT 2024","5209","Platform","","contact tests","","","create-template",""
"passed","Sun Mar 17 09:35:25 GMT 2024","Sun Mar 17 09:35:32 GMT 2024","6356","Platform","","Mentions issue tests","","","When Change assigner user should be added as Collaborators",""
"passed","Sun Mar 17 09:33:17 GMT 2024","Sun Mar 17 09:33:31 GMT 2024","14098","Platform","","Tracker filters tests","","","Priority filter",""
"passed","Sun Mar 17 09:36:13 GMT 2024","Sun Mar 17 09:36:24 GMT 2024","10905","Platform","","Relations","","","Mark as blocked by",""
"passed","Sun Mar 17 09:30:27 GMT 2024","Sun Mar 17 09:30:33 GMT 2024","5541","Platform","","contact tests","","","delete-contact",""
"passed","Sun Mar 17 09:30:53 GMT 2024","Sun Mar 17 09:30:55 GMT 2024","2407","Platform","","login test","","","check login",""
"passed","Sun Mar 17 09:36:49 GMT 2024","Sun Mar 17 09:37:01 GMT 2024","11801","Platform","","Relations","","","Remove relation be editing issue details",""
"passed","Sun Mar 17 09:35:49 GMT 2024","Sun Mar 17 09:35:53 GMT 2024","4411","Platform","","Tracker milestone tests","","","Delete a Milestone",""
"passed","Sun Mar 17 09:33:51 GMT 2024","Sun Mar 17 09:33:57 GMT 2024","5584","Platform","","Tracker filters tests","","","Component filter",""
"passed","Sun Mar 17 09:32:44 GMT 2024","Sun Mar 17 09:32:48 GMT 2024","3760","Platform","","Tracker component tests","","","Delete a component",""
"passed","Sun Mar 17 09:34:54 GMT 2024","Sun Mar 17 09:35:16 GMT 2024","21655","Platform","","Tracker filters tests","","","Due date filter",""
"passed","Sun Mar 17 09:38:48 GMT 2024","Sun Mar 17 09:38:56 GMT 2024","8098","Platform","","Tracker tests","","","create-issue-draft",""
"passed","Sun Mar 17 09:32:13 GMT 2024","Sun Mar 17 09:32:17 GMT 2024","4027","Platform","","candidate/talents tests","","","Match to vacancy",""
"passed","Sun Mar 17 09:35:15 GMT 2024","Sun Mar 17 09:35:21 GMT 2024","6114","Platform","","tracker layout tests","","","issues-no grouping-grouping-layout",""
"passed","Sun Mar 17 09:29:53 GMT 2024","Sun Mar 17 09:30:08 GMT 2024","15150","Platform","","Collaborative test for issue","","","Issues can be assigned to another users",""
"passed","Sun Mar 17 09:34:55 GMT 2024","Sun Mar 17 09:35:03 GMT 2024","7548","Platform","","tracker layout tests","","","issues-priority-grouping-layout",""
"passed","Sun Mar 17 09:30:43 GMT 2024","Sun Mar 17 09:30:47 GMT 2024","4342","Platform","","Teamspace tests","","","Archive teamspace",""
"passed","Sun Mar 17 09:30:48 GMT 2024","Sun Mar 17 09:30:55 GMT 2024","6951","Platform","","Documents tests","","","Move document",""
"passed","Sun Mar 17 09:31:52 GMT 2024","Sun Mar 17 09:31:57 GMT 2024","5104","Platform","","candidate/talents tests","","","Delete the Talent",""
"passed","Sun Mar 17 09:37:20 GMT 2024","Sun Mar 17 09:37:40 GMT 2024","19496","Platform","","Tracker tests","","","save-view-options",""
"passed","Sun Mar 17 09:30:19 GMT 2024","Sun Mar 17 09:30:23 GMT 2024","4459","Platform","","contact tests","","","create-company",""
"passed","Sun Mar 17 09:36:02 GMT 2024","Sun Mar 17 09:36:13 GMT 2024","10401","Platform","","Tracker public link issues tests","","","Public link Revoke",""
"passed","Sun Mar 17 09:35:38 GMT 2024","Sun Mar 17 09:35:43 GMT 2024","4731","Platform","","Tracker milestone tests","","","Create a Milestone",""
"passed","Sun Mar 17 09:30:33 GMT 2024","Sun Mar 17 09:30:38 GMT 2024","5740","Platform","","contact tests","","","kick-and-delete-employee",""
"passed","Sun Mar 17 09:31:27 GMT 2024","Sun Mar 17 09:31:32 GMT 2024","4449","Platform","","Companies tests","","","Delete a Company",""
"passed","Sun Mar 17 09:30:26 GMT 2024","Sun Mar 17 09:30:36 GMT 2024","10308","Platform","","Documents link tests","","","Document public link revoke",""
"passed","Sun Mar 17 09:38:13 GMT 2024","Sun Mar 17 09:38:26 GMT 2024","12983","Platform","","Workspace tests","","","Create a workspace with join link",""
"passed","Sun Mar 17 09:31:57 GMT 2024","Sun Mar 17 09:32:13 GMT 2024","15652","Platform","","candidate/talents tests","","","Merge contacts",""
"passed","Sun Mar 17 09:34:13 GMT 2024","Sun Mar 17 09:34:19 GMT 2024","6312","Platform","","Tracker issue tests","","","Add comment with image attachment",""
"passed","Sun Mar 17 09:35:48 GMT 2024","Sun Mar 17 09:35:57 GMT 2024","8964","Platform","","Tracker Projects tests","","","Edit project",""
"passed","Sun Mar 17 09:30:08 GMT 2024","Sun Mar 17 09:30:18 GMT 2024","9763","Platform","","Collaborative test for issue","","","Issues status can be changed by another users",""
"passed","Sun Mar 17 09:29:53 GMT 2024","Sun Mar 17 09:29:59 GMT 2024","5465","Platform","","actions tests","","","action-new-candidate",""
"passed","Sun Mar 17 09:35:57 GMT 2024","Sun Mar 17 09:36:03 GMT 2024","6283","Platform","","Tracker Projects tests","","","Archive Project",""
"passed","Sun Mar 17 09:31:43 GMT 2024","Sun Mar 17 09:31:46 GMT 2024","3625","Platform","","Vacancy tests","","","use-kanban",""
"passed","Sun Mar 17 09:34:03 GMT 2024","Sun Mar 17 09:34:19 GMT 2024","16154","Platform","","Tracker filters tests","","","Modified by filter",""
"passed","Sun Mar 17 09:30:23 GMT 2024","Sun Mar 17 09:30:27 GMT 2024","3935","Platform","","contact tests","","","contact-search",""
"passed","Sun Mar 17 09:38:26 GMT 2024","Sun Mar 17 09:38:41 GMT 2024","15091","Platform","","Workspace tests","","","Create a workspace with join link - existing account",""
"passed","Sun Mar 17 09:35:19 GMT 2024","Sun Mar 17 09:35:25 GMT 2024","6600","Platform","","Mentions issue tests","","","If user mentioned in the issue than he should be added as Collaborators",""
"passed","Sun Mar 17 09:30:47 GMT 2024","Sun Mar 17 09:30:53 GMT 2024","5374","Platform","","Teamspace tests","","","Edit teamspace",""
"passed","Sun Mar 17 09:38:09 GMT 2024","Sun Mar 17 09:38:13 GMT 2024","3607","Platform","","Workspace tests","","","Check validation steps description for the create flow",""
"passed","Sun Mar 17 09:33:44 GMT 2024","Sun Mar 17 09:33:51 GMT 2024","6637","Platform","","Tracker issue tests","","","Create an Issue from template",""
"passed","Sun Mar 17 09:38:18 GMT 2024","Sun Mar 17 09:38:32 GMT 2024","13785","Platform","","Tracker tests","","","report-multiple-time-from-issue-card",""
"passed","Sun Mar 17 09:37:40 GMT 2024","Sun Mar 17 09:37:44 GMT 2024","4719","Platform","","workbench tests","","","check-for-last-loc",""
"passed","Sun Mar 17 09:31:46 GMT 2024","Sun Mar 17 09:31:54 GMT 2024","8311","Platform","","Vacancy tests","","","Edit a Vacancy",""
"passed","Sun Mar 17 09:32:58 GMT 2024","Sun Mar 17 09:33:09 GMT 2024","10720","Platform","","Tracker issue tests","","","Create an issue with all parameters and attachments",""
"passed","Sun Mar 17 09:32:19 GMT 2024","Sun Mar 17 09:32:23 GMT 2024","4185","Platform","","contact tests","","","manage-templates",""
"passed","Sun Mar 17 09:36:41 GMT 2024","Sun Mar 17 09:36:51 GMT 2024","10070","Platform","","Tracker sub-issues tests","","","Delete a sub-issue",""
"passed","Sun Mar 17 09:35:35 GMT 2024","Sun Mar 17 09:35:42 GMT 2024","7304","Platform","","tracker layout tests","","","issues-priority-ordering-layout",""
"passed","Sun Mar 17 09:35:21 GMT 2024","Sun Mar 17 09:35:28 GMT 2024","7107","Platform","","tracker layout tests","","","issues-status-ordering-layout",""
"passed","Sun Mar 17 09:32:23 GMT 2024","Sun Mar 17 09:32:31 GMT 2024","7975","Platform","","Attachments tests","","","Create issue with several attachment test",""
"passed","Sun Mar 17 09:30:42 GMT 2024","Sun Mar 17 09:30:48 GMT 2024","6226","Platform","","Documents tests","","","Edit document",""
"passed","Sun Mar 17 09:31:29 GMT 2024","Sun Mar 17 09:31:37 GMT 2024","8285","Platform","","Application tests","","","Comment stored after reload the page",""
"passed","Sun Mar 17 09:37:53 GMT 2024","Sun Mar 17 09:38:18 GMT 2024","24726","Platform","","Tracker tests","","","report-time-from-issue-card",""
"passed","Sun Mar 17 09:33:57 GMT 2024","Sun Mar 17 09:34:03 GMT 2024","6740","Platform","","Tracker filters tests","","","Title filter",""
"passed","Sun Mar 17 09:31:54 GMT 2024","Sun Mar 17 09:31:59 GMT 2024","5025","Platform","","Vacancy tests","","","Filter vacancies",""
"passed","Sun Mar 17 09:30:10 GMT 2024","Sun Mar 17 09:30:15 GMT 2024","4930","Platform","","duplicate-org-test","","","check-contact-exists",""
"passed","Sun Mar 17 09:35:43 GMT 2024","Sun Mar 17 09:35:49 GMT 2024","5971","Platform","","Tracker milestone tests","","","Edit a Milestone",""
"passed","Sun Mar 17 09:30:55 GMT 2024","Sun Mar 17 09:31:00 GMT 2024","5150","Platform","","recruit tests","","","org-add-member",""
"passed","Sun Mar 17 09:33:09 GMT 2024","Sun Mar 17 09:33:27 GMT 2024","18699","Platform","","Tracker issue tests","","","Edit an issue",""
"passed","Sun Mar 17 09:34:19 GMT 2024","Sun Mar 17 09:34:26 GMT 2024","7596","Platform","","Tracker issue tests","","","Add comment by popup",""
"passed","Sun Mar 17 09:34:19 GMT 2024","Sun Mar 17 09:34:46 GMT 2024","26846","Platform","","Tracker filters tests","","","Milestone filter",""
"passed","Sun Mar 17 09:36:03 GMT 2024","Sun Mar 17 09:36:15 GMT 2024","12345","Platform","","Tracker related issue tests","","","New related issue",""
"passed","Sun Mar 17 09:37:40 GMT 2024","Sun Mar 17 09:37:53 GMT 2024","13407","Platform","","Tracker tests","","","my-issues",""
